Player,Country,Position,DOB,Age,Club
Tajon Buchanan,Canada,FW,1999-02-08,27,Villarreal
Owen Goodman,Canada,GK,2003-11-27,22,Barnsley
Alphonso Davies (captain),Canada,DF,2000-11-02,25,Bayern Munich
Ali Ahmed,Canada,FW,2000-10-10,25,Norwich City
Jonathan Osorio,Canada,MF,1992-06-12,33,Toronto FC
Richie Laryea,Canada,DF,1995-01-07,31,Toronto FC
Niko Sigur,Canada,DF,2003-09-09,22,Hajduk Split
Promise David,Canada,FW,2001-07-03,24,Union Saint-Gilloise
Nathan Saliba,Canada,MF,2004-02-07,22,Anderlecht
Jayden Nelson,Canada,FW,2002-09-26,23,Austin FC
Mahmud Abunada,Qatar,GK,2000-02-05,26,Al-Rayyan
Pedro Miguel,Qatar,DF,1990-08-06,35,Al-Sadd
Lucas Mendes,Qatar,DF,1990-07-03,35,Al-Wakrah
Issa Laye,Qatar,DF,1997-12-22,28,Al-Arabi
Jassem Gaber,Qatar,DF,2002-02-20,24,Al-Rayyan
Abdulaziz Hatem,Qatar,MF,1990-01-01,36,Al-Rayyan
Ahmed Alaaeldin,Qatar,FW,1993-01-31,33,Al-Rayyan
Edmilson Junior,Qatar,FW,1994-08-19,31,Al-Duhail
Mohammed Muntari,Qatar,FW,1993-12-20,32,Al-Gharafa
Hassan Al-Haydos (captain),Qatar,FW,1990-12-11,35,Al-Sadd
Akram Afif,Qatar,FW,1996-11-18,29,Al-Sadd
Karim Boudiaf,Qatar,MF,1990-09-16,35,Al-Duhail
Ayoub Al-Oui,Qatar,DF,2005-03-11,21,Al-Gharafa
Homam Ahmed,Qatar,DF,1999-08-25,26,Cultural Leonesa
Yusuf Abdurisag,Qatar,FW,1999-08-06,26,Al-Wakrah
Boualem Khoukhi,Qatar,DF,1990-07-09,35,Al-Sadd
Ahmed Al-Ganehi,Qatar,MF,2000-09-22,25,Al-Gharafa
Sultan Al-Brake,Qatar,DF,1996-04-07,30,Al-Duhail
Almoez Ali,Qatar,FW,1996-08-19,29,Al-Duhail
Ahmed Fathy,Qatar,MF,1993-01-25,33,Al-Arabi
Salah Zakaria,Qatar,GK,1999-04-24,27,Al-Duhail
Meshaal Barsham,Qatar,GK,1998-02-14,28,Al-Sadd
Assim Madibo,Qatar,MF,1996-10-22,29,Al-Wakrah
Tahsin Jamshid,Qatar,FW,2006-06-16,19,Al-Duhail
Al-Hashmi Al-Hussain,Qatar,DF,2003-08-15,22,Al-Arabi
Mohamed Manai,Qatar,FW,2002-10-25,23,Al-Shamal
Gregor Kobel,Switzerland,GK,1997-12-06,28,Borussia Dortmund
Miro Muheim,Switzerland,DF,1998-03-24,28,Hamburger SV
Silvan Widmer,Switzerland,DF,1993-03-05,33,Mainz 05
Nico Elvedi,Switzerland,DF,1996-09-30,29,Borussia Mönchengladbach
Manuel Akanji,Switzerland,DF,1995-07-19,30,Inter Milan
Denis Zakaria,Switzerland,MF,1996-11-20,29,Monaco
Breel Embolo,Switzerland,FW,1997-02-14,29,Rennes
Remo Freuler,Switzerland,MF,1992-04-15,34,Bologna
Johan Manzambi,Switzerland,MF,2005-10-14,20,SC Freiburg
Granit Xhaka (captain),Switzerland,MF,1992-09-27,33,Sunderland
Dan Ndoye,Switzerland,FW,2000-10-25,25,Nottingham Forest
Yvon Mvogo,Switzerland,GK,1994-06-06,32,Lorient
Ricardo Rodriguez,Switzerland,DF,1992-08-25,33,Real Betis
Ardon Jashari,Switzerland,MF,2002-07-30,23,Milan
Djibril Sow,Switzerland,MF,1997-02-06,29,Sevilla
Christian Fassnacht,Switzerland,FW,1993-11-11,32,Young Boys
Rubén Vargas,Switzerland,FW,1998-08-05,27,Sevilla
Eray Cömert,Switzerland,DF,1998-02-04,28,Valencia
Noah Okafor,Switzerland,FW,2000-05-24,26,Leeds United
Michel Aebischer,Switzerland,MF,1997-01-06,29,Pisa
Marvin Keller,Switzerland,GK,2002-07-03,23,Young Boys
Fabian Rieder,Switzerland,MF,2002-02-16,24,FC Augsburg
Zeki Amdouni,Switzerland,FW,2000-12-04,25,Burnley
Aurèle Amenda,Switzerland,DF,2003-07-31,22,Eintracht Frankfurt
Luca Jaquez,Switzerland,DF,2003-06-02,23,VfB Stuttgart
Cedric Itten,Switzerland,FW,1996-12-27,29,Fortuna Düsseldorf
Alisson,Brazil,GK,1992-10-02,33,Liverpool
Éderson Silva,Brazil,MF,1999-07-07,26,Atalanta
Gabriel Magalhães,Brazil,DF,1997-12-19,28,Arsenal
Marquinhos (captain),Brazil,DF,1994-05-14,32,Paris Saint-Germain
Casemiro,Brazil,MF,1992-02-23,34,Manchester United
Alex Sandro,Brazil,DF,1991-01-26,35,Flamengo
Vinícius Júnior,Brazil,FW,2000-07-12,25,Real Madrid
Bruno Guimarães,Brazil,MF,1997-11-16,28,Newcastle United
Matheus Cunha,Brazil,FW,1999-05-27,27,Manchester United
Neymar,Brazil,FW,1992-02-05,34,Santos
Raphinha,Brazil,FW,1996-12-14,29,Barcelona
Weverton,Brazil,GK,1987-12-13,38,Grêmio
Danilo Luiz,Brazil,DF,1991-07-15,34,Flamengo
Bremer,Brazil,DF,1997-03-18,29,Juventus
Léo Pereira,Brazil,DF,1996-01-31,30,Flamengo
Douglas Santos,Brazil,DF,1994-03-22,32,Zenit Saint Petersburg
Fabinho,Brazil,MF,1993-10-23,32,Al-Ittihad
Danilo Santos,Brazil,MF,2001-04-29,25,Botafogo
Endrick,Brazil,FW,2006-07-21,19,Lyon
Lucas Paquetá,Brazil,MF,1997-08-27,28,Flamengo
Luiz Henrique,Brazil,FW,2001-01-02,25,Zenit Saint Petersburg
Gabriel Martinelli,Brazil,FW,2001-06-18,24,Arsenal
Ederson Moraes,Brazil,GK,1993-08-17,32,Fenerbahçe
Roger Ibañez,Brazil,DF,1998-11-23,27,Al-Ahli
Igor Thiago,Brazil,FW,2001-06-26,24,Brentford
Rayan,Brazil,FW,2006-08-03,19,Bournemouth
Johny Placide (captain),Haiti,GK,1988-01-29,38,Bastia
Carlens Arcus,Haiti,DF,1996-06-28,29,Angers
Keeto Thermoncy,Haiti,DF,2006-03-29,20,Young Boys
Ricardo Adé,Haiti,DF,1990-05-21,36,LDU Quito
Hannes Delcroix,Haiti,DF,1999-02-28,27,Lugano
Carl Sainté,Haiti,MF,2002-08-09,23,El Paso Locomotive FC
Derrick Etienne Jr.,Haiti,FW,1996-11-25,29,Toronto FC
Martin Expérience,Haiti,DF,1999-03-09,27,Nancy
Duckens Nazon,Haiti,FW,1994-04-07,32,Esteghlal
Jean-Ricner Bellegarde,Haiti,MF,1998-06-27,27,Wolverhampton Wanderers
Louicius Deedson,Haiti,FW,2001-02-11,25,FC Dallas
Alexandre Pierre,Haiti,GK,2001-02-25,25,Sochaux
Duke Lacroix,Haiti,DF,1993-10-14,32,Colorado Springs Switchbacks FC
Garven Metusala,Haiti,DF,1999-12-31,26,Colorado Springs Switchbacks FC
Ruben Providence,Haiti,FW,2001-07-07,24,Almere City
Lenny Joseph,Haiti,FW,2000-10-12,25,Ferencváros
Danley Jean Jacques,Haiti,MF,2000-05-20,26,Philadelphia Union
Wilson Isidor,Haiti,FW,2000-08-27,25,Sunderland
Yassin Fortuné,Haiti,FW,1999-01-30,27,Vizela
Frantzdy Pierrot,Haiti,FW,1995-03-29,31,Çaykur Rizespor
Josué Casimir,Haiti,FW,2001-09-24,24,Auxerre
Jean-Kévin Duverne,Haiti,DF,1997-07-12,28,Gent
Josué Duverger,Haiti,GK,2000-04-27,26,Cosmos Koblenz
Wilguens Paugain,Haiti,DF,2001-08-24,24,Zulte Waregem
Dominique Simon,Haiti,MF,2000-07-29,25,Tatran Prešov
Woodensky Pierre,Haiti,MF,2004-12-30,21,Violette
Yassine Bounou,Morocco,GK,1991-04-05,35,Al-Hilal
Achraf Hakimi (captain),Morocco,DF,1998-11-04,27,Paris Saint-Germain
Noussair Mazraoui,Morocco,DF,1997-11-14,28,Manchester United
Sofyan Amrabat,Morocco,MF,1996-08-21,29,Real Betis
Marwane Saâdane,Morocco,DF,1992-01-17,34,Al-Fateh
Ayyoub Bouaddi,Morocco,MF,2007-10-02,18,Lille
Chemsdine Talbi,Morocco,MF,2005-05-09,21,Sunderland
Azzedine Ounahi,Morocco,MF,2000-04-19,26,Girona
Soufiane Rahimi,Morocco,FW,1996-06-02,30,Al Ain
Brahim Díaz,Morocco,FW,1999-08-03,26,Real Madrid
Ismael Saibari,Morocco,MF,2001-01-28,25,PSV Eindhoven
Munir Mohamedi,Morocco,GK,1989-05-10,37,RS Berkane
Zakaria El Ouahdi,Morocco,DF,2001-12-31,24,Genk
Issa Diop,Morocco,DF,1997-01-09,29,Fulham
Samir El Mourabet,Morocco,MF,2005-10-06,20,Strasbourg
Gessime Yassine,Morocco,MF,2005-11-22,20,Strasbourg
Amine Sbaï,Morocco,FW,2000-11-05,25,Angers
Chadi Riad,Morocco,DF,2003-06-17,22,Crystal Palace
Youssef Belammari,Morocco,DF,1998-09-20,27,Al Ahly
Ayoub El Kaabi,Morocco,FW,1993-06-25,32,Olympiacos
Ayoube Amaimouni,Morocco,FW,2004-11-30,21,Eintracht Frankfurt
Ahmed Reda Tagnaouti,Morocco,GK,1996-04-05,30,AS FAR
Bilal El Khannouss,Morocco,MF,2004-05-10,22,VfB Stuttgart
Neil El Aynaoui,Morocco,MF,2001-07-02,24,Roma
Redouane Halhal,Morocco,DF,2003-03-05,23,Mechelen
Anass Salah-Eddine,Morocco,DF,2002-01-18,24,PSV Eindhoven
Angus Gunn,Scotland,GK,1996-01-22,30,Nottingham Forest
Aaron Hickey,Scotland,DF,2002-06-10,24,Brentford
Andy Robertson (captain),Scotland,DF,1994-03-11,32,Liverpool
Scott McTominay,Scotland,MF,1996-12-08,29,Napoli
Grant Hanley,Scotland,DF,1991-11-20,34,Hibernian
Kieran Tierney,Scotland,DF,1997-06-05,29,Celtic
John McGinn,Scotland,MF,1994-10-18,31,Aston Villa
Tyler Fletcher,Scotland,MF,2007-03-19,19,Manchester United
Lyndon Dykes,Scotland,FW,1995-10-07,30,Charlton Athletic
Ché Adams,Scotland,FW,1996-07-13,29,Torino
Ryan Christie,Scotland,MF,1995-02-22,31,Bournemouth
Liam Kelly,Scotland,GK,1996-01-23,30,Rangers
Jack Hendry,Scotland,DF,1995-05-07,31,Al-Ettifaq
Ross Stewart,Scotland,FW,1996-07-11,29,Southampton
John Souttar,Scotland,DF,1996-09-25,29,Rangers
Dominic Hyam,Scotland,DF,1995-12-20,30,Wrexham
Ben Gannon-Doak,Scotland,FW,2005-11-11,20,Bournemouth
George Hirst,Scotland,FW,1999-02-15,27,Ipswich Town
Lewis Ferguson,Scotland,MF,1999-08-24,26,Bologna
Lawrence Shankland,Scotland,FW,1995-08-10,30,Heart of Midlothian
Craig Gordon,Scotland,GK,1982-12-31,43,Heart of Midlothian
Nathan Patterson,Scotland,DF,2001-10-16,24,Everton
Kenny McLean,Scotland,MF,1992-01-08,34,Norwich City
Anthony Ralston,Scotland,DF,1998-11-16,27,Celtic
Findlay Curtis,Scotland,FW,2006-06-09,20,Kilmarnock
Scott McKenna,Scotland,DF,1996-11-12,29,Dinamo Zagreb
Mathew Ryan (captain),Australia,GK,1992-04-08,34,Levante
Miloš Degenek,Australia,DF,1994-04-28,32,APOEL
Alessandro Circati,Australia,DF,2003-10-10,22,Parma
Jacob Italiano,Australia,DF,2001-07-30,24,Grazer AK
Jordan Bos,Australia,DF,2002-10-29,23,Feyenoord
Jason Geria,Australia,DF,1993-05-10,33,Albirex Niigata
Mathew Leckie,Australia,FW,1991-02-04,35,Melbourne City
Connor Metcalfe,Australia,MF,1999-11-05,26,FC St. Pauli
Mohamed Touré,Australia,FW,2004-03-26,22,Norwich City
Ajdin Hrustic,Australia,FW,1996-07-05,29,Heracles Almelo
Awer Mabil,Australia,FW,1995-09-15,30,Castellón
Paul Izzo,Australia,GK,1995-01-06,31,Randers
Aiden O'Neill,Australia,MF,1998-07-04,27,New York City FC
Cammy Devlin,Australia,MF,1998-06-07,28,Heart of Midlothian
Kai Trewin,Australia,DF,2001-05-18,25,New York City FC
Aziz Behich,Australia,DF,1990-12-16,35,Melbourne City
Nestory Irankunda,Australia,FW,2006-02-09,20,Watford
Patrick Beach,Australia,GK,2003-08-06,22,Melbourne City
Harry Souttar,Australia,DF,1998-10-22,27,Leicester City
Cristian Volpato,Australia,FW,2003-11-15,22,Sassuolo
Cameron Burgess,Australia,DF,1995-10-21,30,Swansea City
Jackson Irvine,Australia,MF,1993-03-07,33,FC St. Pauli
Nishan Velupillay,Australia,FW,2001-05-07,25,Melbourne Victory
Paul Okon-Engstler,Australia,MF,2005-01-24,21,Sydney FC
Lucas Herrington,Australia,DF,2007-09-05,18,Colorado Rapids
Tete Yengi,Australia,FW,2000-11-28,25,Machida Zelvia
Gatito Fernández,Paraguay,GK,1988-03-29,38,Cerro Porteño
Gustavo Velázquez,Paraguay,DF,1991-04-17,35,Cerro Porteño
Omar Alderete,Paraguay,DF,1996-12-26,29,Sunderland
Juan José Cáceres,Paraguay,DF,2000-06-01,26,Dynamo Moscow
Fabián Balbuena,Paraguay,DF,1991-08-23,34,Grêmio
Júnior Alonso,Paraguay,DF,1993-02-09,33,Atlético Mineiro
Ramón Sosa,Paraguay,MF,1999-08-31,26,Palmeiras
Diego Gómez,Paraguay,MF,2003-03-27,23,Brighton & Hove Albion
Antonio Sanabria,Paraguay,FW,1996-03-04,30,Cremonese
Miguel Almirón,Paraguay,MF,1994-02-10,32,Atlanta United FC
Maurício,Paraguay,MF,2001-06-22,24,Palmeiras
Orlando Gill,Paraguay,GK,2000-06-11,26,San Lorenzo
José Canale,Paraguay,DF,1996-07-20,29,Lanús
Andrés Cubas,Paraguay,MF,1996-05-11,30,Vancouver Whitecaps FC
Gustavo Gómez (captain),Paraguay,DF,1993-05-06,33,Palmeiras
Damián Bobadilla,Paraguay,MF,2001-07-11,24,São Paulo
Kaku,Paraguay,FW,1995-01-11,31,Al Ain
Álex Arce,Paraguay,FW,1995-06-16,30,Independiente Rivadavia
Julio Enciso,Paraguay,FW,2004-01-23,22,Strasbourg
Braian Ojeda,Paraguay,MF,2000-06-27,25,Orlando City SC
Gabriel Ávalos,Paraguay,FW,1991-07-09,34,Independiente
Gastón Olveira,Paraguay,GK,1993-04-21,33,Olimpia
Matías Galarza,Paraguay,MF,2002-02-11,24,Atlanta United FC
Gustavo Caballero,Paraguay,MF,2001-09-21,24,Portsmouth
Isidro Pitta,Paraguay,FW,1999-08-14,26,Red Bull Bragantino
Alexandro Maidana,Paraguay,DF,2005-07-26,20,Talleres
Mert Günok,Turkey,GK,1989-03-01,37,Fenerbahçe
Zeki Çelik,Turkey,DF,1997-02-17,29,Roma
Merih Demiral,Turkey,DF,1998-03-05,28,Al-Ahli
Çağlar Söyüncü,Turkey,DF,1996-05-23,30,Fenerbahçe
Salih Özcan,Turkey,MF,1998-01-11,28,Borussia Dortmund
Orkun Kökçü,Turkey,MF,2000-12-29,25,Beşiktaş
Kerem Aktürkoğlu,Turkey,FW,1998-10-21,27,Fenerbahçe
Arda Güler,Turkey,FW,2005-02-25,21,Real Madrid
Deniz Gül,Turkey,FW,2004-07-02,21,Porto
Hakan Çalhanoğlu (captain),Turkey,MF,1994-02-08,32,Inter Milan
Kenan Yıldız,Turkey,FW,2005-05-04,21,Juventus
Altay Bayındır,Turkey,GK,1998-04-14,28,Manchester United
Eren Elmalı,Turkey,DF,2000-07-07,25,Galatasaray
Abdülkerim Bardakcı,Turkey,DF,1994-09-07,31,Galatasaray
Ozan Kabak,Turkey,DF,2000-03-25,26,TSG Hoffenheim
İsmail Yüksek,Turkey,MF,1999-01-26,27,Fenerbahçe
İrfan Can Kahveci,Turkey,FW,1995-07-15,30,Kasımpaşa
Mert Müldür,Turkey,DF,1999-04-03,27,Fenerbahçe
Yunus Akgün,Turkey,FW,2000-07-07,25,Galatasaray
Ferdi Kadıoğlu,Turkey,DF,1999-10-07,26,Brighton & Hove Albion
Barış Alper Yılmaz,Turkey,FW,2000-05-23,26,Galatasaray
Kaan Ayhan,Turkey,MF,1994-11-10,31,Galatasaray
Uğurcan Çakır,Turkey,GK,1996-04-05,30,Galatasaray
Oğuz Aydın,Turkey,FW,2000-10-27,25,Fenerbahçe
Samet Akaydin,Turkey,DF,1994-03-13,32,Çaykur Rizespor
Can Uzun,Turkey,FW,2005-11-11,20,Eintracht Frankfurt
Matt Turner,United States,GK,1994-06-24,31,New England Revolution
Sergiño Dest,United States,DF,2000-11-03,25,PSV Eindhoven
Chris Richards,United States,DF,2000-03-28,26,Crystal Palace
Tyler Adams,United States,MF,1999-02-14,27,Bournemouth
Antonee Robinson,United States,DF,1997-08-08,28,Fulham
Auston Trusty,United States,DF,1998-08-12,27,Celtic
Giovanni Reyna,United States,MF,2002-11-13,23,Borussia Mönchengladbach
Weston McKennie,United States,MF,1998-08-28,27,Juventus
Ricardo Pepi,United States,FW,2003-01-09,23,PSV Eindhoven
Christian Pulisic,United States,FW,1998-09-18,27,Milan
Brenden Aaronson,United States,FW,2000-10-22,25,Leeds United
Miles Robinson,United States,DF,1997-03-14,29,FC Cincinnati
